OBJECTID,VACCINATION_DATE,County,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative,SingleDoseDaily,SingleDoseCumulative,AtLeastOneDose,FullyVaccinated,FullVaccinatedCumulative,AtLeastOneDoseCumulative
2350,2021/03/23 15:00:00+00,Charles                                           ,505,32186,776,15019,18,1155,523,794,16174,33341
2351,2021/03/24 15:00:00+00,Charles                                           ,1714,33900,223,15242,17,1172,1731,240,16414,35072
2352,2021/03/25 15:00:00+00,Charles                                           ,621,34521,254,15496,15,1187,636,269,16683,35708
2353,2021/03/26 15:00:00+00,Charles                                           ,897,35418,1382,16878,40,1227,937,1422,18105,36645
2354,2021/03/27 15:00:00+00,Charles                                           ,989,36407,121,16999,14,1241,1003,135,18240,37648
2355,2021/03/28 15:00:00+00,Charles                                           ,919,37326,132,17131,12,1253,931,144,18384,38579
2356,2021/03/29 15:00:00+00,Charles                                           ,986,38312,552,17683,25,1278,1011,577,18961,39590
2357,2021/03/30 15:00:00+00,Charles                                           ,984,39296,283,17966,31,1309,1015,314,19275,40605
2358,2021/03/31 15:00:00+00,Charles                                           ,1642,40938,568,18534,36,1345,1678,604,19879,42283
2359,2021/04/01 15:00:00+00,Charles                                           ,1343,42281,333,18867,84,1429,1427,417,20296,43710
2360,2021/04/02 15:00:00+00,Charles                                           ,396,42677,562,19429,97,1526,493,659,20955,44203
2361,2021/04/03 15:00:00+00,Charles                                           ,146,42823,369,19798,60,1586,206,429,21384,44409
2362,2021/04/04 15:00:00+00,Charles                                           ,109,42932,197,19995,22,1608,131,219,21603,44540
2363,2021/04/05 15:00:00+00,Charles                                           ,288,43220,1366,21361,57,1665,345,1423,23026,44885
2364,2021/04/06 15:00:00+00,Charles                                           ,301,43521,1100,22461,111,1776,412,1211,24237,45297
2365,2021/04/07 15:00:00+00,Charles                                           ,1238,44759,731,23192,151,1927,1389,882,25119,46686
2366,2021/04/08 15:00:00+00,Charles                                           ,422,45181,410,23602,298,2225,720,708,25827,47406
2367,2021/04/09 15:00:00+00,Charles                                           ,496,45677,1228,24830,203,2428,699,1431,27258,48105
2368,2021/04/10 15:00:00+00,Charles                                           ,374,46051,388,25218,268,2696,642,656,27914,48747
2369,2021/04/11 15:00:00+00,Charles                                           ,313,46364,195,25413,221,2917,534,416,28330,49281
2370,2021/04/12 15:00:00+00,Charles                                           ,364,46728,1044,26457,296,3213,660,1340,29670,49941
2371,2021/04/13 15:00:00+00,Charles                                           ,1274,48002,427,26884,3,3216,1277,430,30100,51218
2372,2021/04/14 15:00:00+00,Charles                                           ,473,48475,1828,28712,,3216,,,31928,51691
2373,2021/04/15 15:00:00+00,Charles                                           ,878,49353,551,29263,,3216,,,32479,52569
2374,2021/04/16 15:00:00+00,Charles                                           ,528,49881,1080,30343,1,3217,529,1081,33560,53098
2375,2021/04/17 15:00:00+00,Charles                                           ,388,50269,550,30893,,3217,,,34110,53486
2376,2021/04/18 15:00:00+00,Charles                                           ,271,50540,890,31783,,3217,,,35000,53757
2377,2021/04/19 15:00:00+00,Charles                                           ,426,50966,2022,33805,,3217,,,37022,54183
2378,2021/04/20 15:00:00+00,Charles                                           ,1315,52281,954,34759,,3217,,,37976,55498
2379,2021/04/21 15:00:00+00,Charles                                           ,340,52621,1704,36463,,3217,,,39680,55838
2380,2021/04/22 15:00:00+00,Charles                                           ,1118,53739,422,36885,,3217,,,40102,56956
2381,2021/04/23 15:00:00+00,Charles                                           ,1160,54899,568,37453,,3217,,,40670,58116
2382,2021/04/10 15:00:00+00,Caroline                                          ,35,9130,16,6554,103,2284,138,119,8838,11414
2383,2021/04/11 15:00:00+00,Caroline                                          ,12,9142,24,6578,80,2364,92,104,8942,11506
2384,2021/04/12 15:00:00+00,Caroline                                          ,24,9166,45,6623,25,2389,49,70,9012,11555
2385,2021/04/13 15:00:00+00,Caroline                                          ,38,9204,67,6690,,2389,,,9079,11593
2386,2021/04/14 15:00:00+00,Caroline                                          ,203,9407,120,6810,,2389,,,9199,11796
2387,2021/04/15 15:00:00+00,Caroline                                          ,65,9472,198,7008,,2389,,,9397,11861
2388,2021/04/16 15:00:00+00,Caroline                                          ,114,9586,227,7235,,2389,,,9624,11975
2389,2021/04/17 15:00:00+00,Caroline                                          ,21,9607,25,7260,,2389,,,9649,11996
2390,2021/04/18 15:00:00+00,Caroline                                          ,17,9624,15,7275,,2389,,,9664,12013
2391,2021/04/19 15:00:00+00,Caroline                                          ,28,9652,48,7323,,2389,,,9712,12041
2392,2021/04/20 15:00:00+00,Caroline                                          ,46,9698,84,7407,,2389,,,9796,12087
2393,2021/04/21 15:00:00+00,Caroline                                          ,148,9846,115,7522,,2389,,,9911,12235
2394,2021/04/22 15:00:00+00,Caroline                                          ,112,9958,426,7948,,2389,,,10337,12347
2395,2021/04/23 15:00:00+00,Caroline                                          ,105,10063,74,8022,,2389,,,10411,12452
2396,2021/04/24 15:00:00+00,Caroline                                          ,85,10148,46,8068,,2389,,,10457,12537
2397,2021/04/25 15:00:00+00,Caroline                                          ,11,10159,14,8082,,2389,,,10471,12548
2398,2021/04/26 15:00:00+00,Caroline                                          ,19,10178,69,8151,1,2390,20,70,10541,12568
2399,2021/04/27 15:00:00+00,Caroline                                          ,30,10208,60,8211,8,2398,38,68,10609,12606
